country,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
Afghanistan,2020-04-27,nowcast,1.1,0.5,1.7,0.9,1.3,0.33
Afghanistan,2020-04-28,nowcast,1.1,0.6,1.7,0.9,1.3,0.32
Afghanistan,2020-04-29,nowcast,1.1,0.6,1.7,0.9,1.3,0.33
Afghanistan,2020-04-30,nowcast,1.1,0.6,1.7,0.9,1.2,0.37
Afghanistan,2020-05-01,nowcast,1.1,0.6,1.6,0.9,1.3,0.36
Afghanistan,2020-05-02,nowcast,1.1,0.6,1.6,0.9,1.3,0.37
Afghanistan,2020-05-03,nowcast,1.1,0.6,1.7,0.9,1.3,0.38
Afghanistan,2020-05-04,nowcast,1.1,0.6,1.6,0.9,1.3,0.38
Afghanistan,2020-05-05,nowcast,1.1,0.6,1.6,0.9,1.2,0.37
Afghanistan,2020-05-06,nowcast,1.1,0.6,1.7,0.9,1.3,0.37
Afghanistan,2020-05-07,nowcast,1.1,0.6,1.6,0.8,1.2,0.38
Afghanistan,2020-05-08,nowcast,1.1,0.6,1.6,0.9,1.2,0.36
Afghanistan,2020-05-09,nowcast,1.1,0.6,1.6,0.9,1.2,0.37
Afghanistan,2020-05-10,nowcast,1.1,0.6,1.6,0.9,1.2,0.38
Afghanistan,2020-05-11,nowcast,1.1,0.6,1.6,0.9,1.3,0.38
Afghanistan,2020-05-12,nowcast,1.1,0.6,1.6,0.9,1.2,0.39
Afghanistan,2020-05-13,nowcast,1.1,0.6,1.5,0.8,1.2,0.41
Afghanistan,2020-05-14,nowcast,1.1,0.6,1.6,0.9,1.2,0.4
Afghanistan,2020-05-15,nowcast,1.1,0.6,1.6,0.8,1.2,0.4
Afghanistan,2020-05-16,nowcast,1.1,0.6,1.6,0.9,1.2,0.38
Afghanistan,2020-05-17,nowcast,1.1,0.6,1.6,0.9,1.3,0.35
Afghanistan,2020-05-18,nowcast,1.1,0.6,1.6,0.9,1.3,0.34
Afghanistan,2020-05-19,nowcast,1.1,0.6,1.6,0.9,1.3,0.34
Afghanistan,2020-05-20,nowcast,1.1,0.6,1.7,0.9,1.3,0.32
Algeria,2020-03-22,nowcast,1.3,0.9,1.8,1.1,1.5,0.12
Algeria,2020-03-23,nowcast,1.3,0.9,1.8,1.1,1.5,0.11
Algeria,2020-03-24,nowcast,1.3,0.8,1.7,1.1,1.4,0.13
Algeria,2020-03-25,nowcast,1.3,0.8,1.7,1.1,1.4,0.13
Algeria,2020-03-26,nowcast,1.2,0.8,1.7,1.1,1.4,0.15
Algeria,2020-03-27,nowcast,1.2,0.8,1.6,1.1,1.4,0.18
Algeria,2020-03-28,nowcast,1.2,0.8,1.6,1.1,1.4,0.21
Algeria,2020-03-29,nowcast,1.1,0.8,1.5,1,1.3,0.26
Algeria,2020-03-30,nowcast,1.1,0.7,1.4,1,1.2,0.33
Algeria,2020-03-31,nowcast,1,0.7,1.4,0.9,1.2,0.4
Algeria,2020-04-01,nowcast,1,0.6,1.3,0.9,1.1,0.5
Algeria,2020-04-02,nowcast,1,0.6,1.3,0.9,1.1,0.58
Algeria,2020-04-03,nowcast,0.9,0.6,1.2,0.8,1,0.67
